cid,sellerid,brandname,InStock,priceRan,salesVol,Image
100001,300004,UNIQLO,FALSE,2234,0,NULL
100002,300002,Tommy Hilfiger,FALSE,24,0,NULL
100003,300003,Chow Tai Fook,FALSE,3937,0,NULL
100004,300001,Cartier,FALSE,1295,0,NULL
100005,300004,Michael Kors,FALSE,2751,0,NULL
100006,300004,Givenchy,FALSE,402,0,NULL
100007,300001,Givenchy,FALSE,2778,0,NULL
100008,300004,Tommy Hilfiger,FALSE,3682,0,NULL
100009,300003,Skechers,FALSE,849,0,NULL
100010,300001,Skechers,FALSE,3115,0,NULL
100011,300002,Pandora,FALSE,1076,0,NULL
100012,300004,Boss,FALSE,2721,0,NULL
100013,300004,ZARA,FALSE,705,0,NULL
100014,300002,Armani,FALSE,2306,0,NULL
100015,300001,Van Cleef & Arpels,FALSE,2664,0,NULL
100016,300003,Puma,FALSE,1404,0,NULL
100017,300002,Primark / Penney's,FALSE,3628,0,NULL
100018,300004,Bosideng,FALSE,1952,0,NULL
100019,300003,UNIQLO,FALSE,3685,0,NULL
100020,300001,TAG Heuer,FALSE,4267,0,NULL
100021,300001,H&M,FALSE,2165,0,NULL
100022,300003,Burberry,FALSE,3300,0,NULL
100023,300003,ZARA,FALSE,4935,0,NULL
100024,300004,Nike,FALSE,1209,0,NULL
100025,300002,Bulgari,FALSE,1068,0,NULL
100026,300001,Ralph Lauren,FALSE,1911,0,NULL
100027,300003,Armani,FALSE,1024,0,NULL
100028,300004,Li Ning,FALSE,2548,0,NULL
100029,300004,Tiffany & Co.,FALSE,4007,0,NULL
100030,300003,Armani,FALSE,3897,0,NULL
100031,300004,Li Ning,FALSE,850,0,NULL
100032,300002,H&M,FALSE,1189,0,NULL
100033,300002,Chow Tai Fook,FALSE,3279,0,NULL
100034,300004,UNIQLO,FALSE,2160,0,NULL
100035,300002,Bottega Veneta,FALSE,4260,0,NULL
100036,300004,Tommy Hilfiger,FALSE,4236,0,NULL
100037,300001,Hermès,FALSE,504,0,NULL
100038,300004,Levi's,FALSE,4483,0,NULL
100039,300003,Nike,FALSE,3405,0,NULL
100040,300004,Rolex,FALSE,3777,0,NULL
100041,300002,Yves Saint Laurent,FALSE,3956,0,NULL
100042,300003,Old Navy,FALSE,2954,0,NULL
100043,300004,Boss,FALSE,939,0,NULL
100044,300003,Van Cleef & Arpels,FALSE,787,0,NULL
100045,300003,Bosideng,FALSE,2813,0,NULL
100046,300001,Anta,FALSE,2591,0,NULL
100047,300004,Anta,FALSE,3470,0,NULL
100048,300001,Hermès,FALSE,1844,0,NULL
100049,300001,Bottega Veneta,FALSE,34,0,NULL
100050,300004,Old Navy,FALSE,2918,0,NULL
100051,300002,Givenchy,FALSE,4100,0,NULL
100052,300004,Armani,FALSE,1422,0,NULL
100053,300003,Bottega Veneta,FALSE,224,0,NULL
100054,300003,Van Cleef & Arpels,FALSE,1956,0,NULL
100055,300004,Van Cleef & Arpels,FALSE,1808,0,NULL
100056,300001,Anta,FALSE,695,0,NULL
100057,300004,Ralph Lauren,FALSE,2919,0,NULL
100058,300001,Chow Tai Fook,FALSE,2523,0,NULL
100059,300003,Rolex,FALSE,2560,0,NULL
100060,300003,Bosideng,FALSE,1920,0,NULL
100061,300001,GUCCI,FALSE,3219,0,NULL
100062,300002,Bulgari,FALSE,4497,0,NULL
